iter	Passed	Remaining
0	184	184590
1	210	104987
2	236	78503
3	260	64912
4	287	57144
5	313	51864
6	338	48068
7	365	45341
8	391	43054
9	416	41225
10	434	39071
11	453	37352
12	475	36070
13	499	35199
14	519	34109
15	540	33252
16	560	32391
17	582	31804
18	606	31296
19	627	30744
20	647	30163
21	664	29559
22	681	28967
23	697	28378
24	715	27899
25	732	27450
26	749	27002
27	766	26591
28	781	26182
29	797	25778
30	813	25414
31	828	25061
32	842	24682
33	859	24415
34	874	24121
35	888	23801
36	906	23584
37	921	23337
38	937	23102
39	953	22877
40	968	22655
41	983	22444
42	1000	22270
43	1016	22076
44	1031	21888
45	1044	21670
46	1060	21500
47	1075	21324
48	1090	21171
49	1106	21028
50	1124	20929
51	1140	20796
52	1155	20655
53	1172	20542
54	1189	20432
55	1206	20333
56	1224	20251
57	1240	20145
58	1256	20032
59	1271	19921
60	1287	19819
61	1302	19709
62	1318	19603
63	1334	19523
64	1352	19455
65	1369	19386
66	1388	19333
67	1404	19250
68	1420	19172
69	1435	19076
70	1452	19001
71	1468	18933
72	1483	18840
73	1500	18772
74	1515	18690
75	1531	18617
76	1545	18526
77	1560	18448
78	1575	18370
79	1591	18303
80	1608	18245
81	1624	18184
82	1642	18143
83	1658	18083
84	1673	18018
85	1688	17949
86	1706	17906
87	1722	17850
88	1739	17801
89	1755	17746
90	1770	17687
91	1784	17612
92	1799	17545
93	1813	17475
94	1827	17411
95	1841	17340
96	1855	17275
97	1870	17211
98	1883	17140
99	1898	17082
100	1912	17020
101	1926	16956
102	1939	16894
103	1953	16833
104	1967	16770
105	1981	16707
106	1995	16652
107	2008	16585
108	2021	16524
109	2035	16470
110	2049	16413
111	2063	16362
112	2077	16305
113	2091	16254
114	2104	16196
115	2117	16133
116	2132	16090
117	2146	16040
118	2159	15988
119	2174	15947
120	2189	15903
121	2202	15848
122	2214	15789
123	2227	15735
124	2240	15685
125	2253	15634
126	2268	15591
127	2282	15552
128	2296	15506
129	2310	15465
130	2324	15419
131	2338	15377
132	2353	15341
133	2367	15297
134	2380	15250
135	2394	15210
136	2408	15170
137	2421	15124
138	2436	15089
139	2449	15047
140	2462	15004
141	2477	14972
142	2492	14934
143	2505	14895
144	2520	14860
145	2533	14818
146	2548	14786
147	2561	14746
148	2571	14685
149	2584	14645
150	2598	14610
151	2613	14581
152	2626	14537
153	2638	14497
154	2653	14464
155	2668	14438
156	2683	14407
157	2699	14386
158	2714	14356
159	2728	14323
160	2742	14292
161	2755	14256
162	2771	14229
163	2784	14194
164	2794	14141
165	2807	14103
166	2821	14076
167	2834	14038
168	2846	13995
169	2859	13963
170	2873	13932
171	2887	13901
172	2899	13862
173	2913	13830
174	2927	13798
175	2940	13769
176	2953	13734
177	2966	13697
178	2979	13664
179	2992	13633
180	3006	13605
181	3018	13565
182	3031	13532
183	3044	13502
184	3058	13472
185	3072	13446
186	3084	13409
187	3097	13377
188	3109	13344
189	3124	13318
190	3137	13287
191	3151	13261
192	3163	13229
193	3177	13199
194	3190	13171
195	3204	13143
196	3219	13121
197	3232	13093
198	3247	13070
199	3261	13047
200	3275	13019
201	3289	12994
202	3302	12965
203	3316	12941
204	3330	12915
205	3341	12880
206	3356	12858
207	3369	12831
208	3385	12812
209	3400	12791
210	3412	12760
211	3425	12734
212	3438	12705
213	3451	12678
214	3465	12654
215	3477	12620
216	3490	12593
217	3502	12565
218	3516	12540
219	3530	12516
220	3543	12491
221	3558	12469
222	3571	12442
223	3584	12418
224	3598	12395
225	3612	12372
226	3626	12349
227	3639	12323
228	3652	12297
229	3665	12272
230	3679	12247
231	3693	12226
232	3707	12204
233	3719	12176
234	3732	12151
235	3746	12127
236	3758	12100
237	3772	12079
238	3784	12049
239	3797	12025
240	3810	12000
241	3824	11978
242	3837	11955
243	3851	11934
244	3865	11912
245	3880	11893
246	3893	11870
247	3905	11843
248	3919	11822
249	3934	11803
250	3948	11782
251	3961	11758
252	3974	11735
253	3988	11712
254	3999	11685
255	4013	11664
256	4027	11642
257	4040	11620
258	4052	11595
259	4066	11574
260	4080	11555
261	4092	11528
262	4105	11505
263	4119	11483
264	4132	11461
265	4145	11440
266	4159	11418
267	4173	11399
268	4186	11376
269	4199	11353
270	4212	11331
271	4225	11310
272	4239	11290
273	4254	11271
274	4266	11247
275	4281	11230
276	4295	11210
277	4309	11192
278	4324	11174
279	4337	11154
280	4352	11136
281	4365	11113
282	4378	11093
283	4392	11075
284	4407	11058
285	4423	11042
286	4438	11025
287	4450	11003
288	4465	10985
289	4480	10968
290	4491	10944
291	4505	10924
292	4518	10902
293	4532	10885
294	4545	10863
295	4559	10845
296	4573	10824
297	4586	10804
298	4600	10786
299	4613	10763
300	4625	10742
301	4637	10719
302	4650	10698
303	4664	10679
304	4679	10662
305	4692	10643
306	4705	10622
307	4719	10604
308	4733	10584
309	4747	10567
310	4760	10546
311	4774	10529
312	4788	10510
313	4801	10490
314	4814	10469
315	4826	10446
